inegi_id,restaurant_name,restaurant_capacity,street_name,ext_number,int_number,coord_long,coord_lat,city
09002722514005531000000000U3,CHILANGO PARRILLERO,0-5,BENITO JUAREZ,,25,-99.18374657,19.46085495,CDMX
09016722219011842000000000U2,TAQUERIA EL HERRADERO,0-5,LAURO AGUIRRE,8,,-99.16684594,19.44439259,CDMX
09016722513005441000000000U7,POZOLES SIN NOMBRE,0-5,DE LOS MAESTROS,0,,-99.16719597,19.44517039,CDMX
09015722517003551000000000U8,LA SANTA PIZZAS Y EMPANADAS ARGENTINAS,6-10,MANUEL MARIA CONTRERAS,66,0,-99.16490324,19.43815872,CDMX
15057722212005251000000000U5,TACOS DE GUISADO EL RAPIDO,0-5,MANUEL AVILA CAMACHO,0,0,-99.22014218,19.45443638,CDMX
09015722511011482000000000U9,CONDE DEL MAR,6-10,TAMAULIPAS,,,-99.17825023,19.40725335,CDMX
09015722219011671000000000U7,RESTAURANTE ARGENTINISIMA,0-5,TAMAULIPAS,203,0,-99.17821344,19.40727372,CDMX
09016722513004711000000000U4,CALDOS DE GALLINA,0-5,ERASMO CASTELLANOS QUINTO,0,508,-99.18846741,19.40270576,CDMX
09016722513005601000000000U6,ANTOJITOS MEXICANOS,0-5,MEXICO TACUBA,0,,-99.16676974,19.44431462,CDMX
09016722518004261000000000U9,VENTEA DE COMIDA MEXICANA SIN NOMBRE,0-5,PARQUE LIRA,0,211,-99.18736617,19.40299710,CDMX
09016722518005111000000000U5,VENTA DE COMIDA SIN NOMBRE,0-5,PARQUE LIRA,0,,-99.18736617,19.40299710,CDMX
09016722514006971000000000U0,VENTA DE COMIDA MEXICANA CORRIDA SIN NOMBRE,0-5,PARQUE LIRA,0,279,-99.18736617,19.40299710,CDMX
09016722513005691000000000U7,VENGA DE ANTOJITOS GRIS,0-5,PARQUE LIRA,0,,-99.18736617,19.40299710,CDMX
09016722212008851000000000U3,VIOLETA CAFE,6-10,PLAN DE AYALA,34,0,-99.17194283,19.45247229,CDMX
09016722212007291000000000U3,TACOS Y TORTAS SIN NOMBRE,0-5,MANUEL CARPIO,,,-99.17253145,19.45312336,CDMX
09016722514000831000000000U2,SUPER TORTAS,0-5,DE LOS MAESTROS,0,0,-99.16718865,19.44527014,CDMX
